string,string_code,ref_t,swing_speed,material,gauge_nom,gauce_ac,stretch_40,stretch_51,stretch_62,pre_t,dwell,deflec,change_t,peak_t,peak_trans_force,avg_trans_force,stiffness,static_loss,stabiliz,impact_loss,total_loss,tension_loss,energy_return,sts_cof,stb_cof,spin_pot
Alien Black Diamond 16,0,51,Fast,Polyester,1.3,1.31,3,5.2,5.8,15.63,42.8,30.1,38.8,54.5,28.5,,152.6,7.36,16.56,0.4,24.3,61.3,76.4,0.1,0.453,4.5
Alien Black Diamond 16,1,62,Fast,Polyester,1.3,1.31,3,5.2,5.8,33.08,39.7,19,24.5,57.6,23.9,,239.5,10.61,17.13,0.24,28,45.3,91.4,0.1,0.453,4.5
Alien Black Diamond 16,2,40,Slow,Polyester,1.3,1.31,3,5.2,5.8,25.42,38.6,27.9,39.9,65.3,30.7,,190.3,8.4,16.87,0.47,25.8,50.7,83,0.1,0.453,4.5
Alien Black Diamond 16,3,51,Slow,Polyester,1.3,1.31,3,5.2,5.8,15.77,40.5,35.8,48.1,63.7,32.1,,223.5,10.61,17.13,0.55,28.2,45.8,87.8,0.1,0.453,4.5
Alien Black Diamond 16,4,40,Medium,Polyester,1.3,1.31,3,5.2,5.8,34,35.8,26,39.7,73.9,12.2,,205.2,7.36,17.18,-0.09,24.5,61.6,88.9,0.1,0.453,4.5
Alien Black Diamond 16,5,62,Slow,Polyester,1.3,1.31,3,5.2,5.8,25.45,36.6,32.6,49.8,75.2,12.7,,256.6,8.4,17.51,-0.17,25.8,50.7,94.5,0.1,0.453,4.5
Alien Black Diamond 16,6,51,Medium,Polyester,1.3,1.31,3,5.2,5.8,34,34,30.3,50.5,84.7,20.5,,174.3,7.36,16.7,0.19,24.3,61.1,82.4,0.1,0.453,4.5
Alien Black Diamond 16,7,40,Fast,Polyester,1.3,1.31,3,5.2,5.8,15.15,47.7,23.1,26.9,42.1,13.7,,274.3,10.61,18.05,-0.5,28.2,45.6,95.6,0.1,0.453,4.5
Alien Black Diamond 16,8,62,Medium,Polyester,1.3,1.31,3,5.2,5.8,24.81,43,20.2,25.8,50.5,22.8,,207.5,8.4,16.9,0.33,25.6,50.5,88.5,0.1,0.453,4.5
Alpha Gut 2000 16,9,40,Fast,Nylon,1.33,NA,7.6,9.1,10,53.41,34.5,25.4,28.4,81.8,35.1,17.4,180.6,4.39,4.28,0.24,8.8,14.4,93.7,0.161,0.506,3.1
Alpha Gut 2000 16,10,62,Slow,Nylon,1.33,NA,7.6,9.1,10,31.16,45.8,22,15.2,46.3,22.8,11,133.7,5.29,3.4,0.06,8.8,22.1,93.3,0.161,0.506,3.1
Alpha Gut 2000 16,11,51,Slow,Nylon,1.33,NA,7.6,9.1,10,42.71,36.9,27.1,29.1,71.9,33.3,16,159.4,4.32,3.89,0.17,8.4,16.5,93.5,0.161,0.506,3.1
Alpha Gut 2000 16,12,62,Medium,Nylon,1.33,NA,7.6,9.1,10,53.07,32.5,30.1,40.1,93.3,31.4,15.3,131.4,5.29,3.55,0.13,9,22.6,90.1,0.161,0.506,3.1
Alpha Gut 2000 16,13,40,Slow,Nylon,1.33,NA,7.6,9.1,10,31,40.7,30,29.8,60.6,15.1,7.8,163.4,4.39,3.15,0.07,7.7,12.3,99,0.161,0.506,3.1
Alpha Gut 2000 16,14,51,Medium,Nylon,1.33,NA,7.6,9.1,10,42.51,34.7,32.1,40.4,82.9,14.2,7.2,148.6,4.32,2.96,0,7.3,14.3,96.8,0.161,0.506,3.1
Alpha Gut 2000 16,15,62,Fast,Nylon,1.33,NA,7.6,9.1,10,30.85,38,35.3,40.4,71,26,12.8,179.5,4.39,3.94,0,8.4,13.5,97.4,0.161,0.506,3.1
Alpha Gut 2000 16,16,40,Medium,Nylon,1.33,NA,7.6,9.1,10,54.2,37.9,18,13,67.3,12.7,6.4,126.9,5.29,3.24,0,8.6,21.5,94.5,0.161,0.506,3.1
Alpha Gut 2000 16,17,51,Fast,Nylon,1.33,NA,7.6,9.1,10,43.44,41,19.8,14.3,57.8,24.4,12.2,161.2,4.32,3.69,-0.02,7.9,15.7,96.4,0.161,0.506,3.1
Ashaway Dynamite 17,18,40,Fast,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,35.59,42,20,14.6,50.1,21.4,,135.4,6.62,8.38,0.13,15.2,29.8,92.5,0.138,0.415,3
Ashaway Dynamite 17,19,62,Medium,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,23.84,43.3,31,27.1,50.9,26.5,,108.6,5.89,9.9,0.44,16.3,40.9,85.2,0.138,0.415,3
Ashaway Dynamite 17,20,51,Fast,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,46.57,38.3,18,12.8,59.3,22.6,,151.4,7.65,7.17,0.04,14.8,24.1,95.6,0.138,0.415,3
Ashaway Dynamite 17,21,62,Fast,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,35.72,38.8,27.9,25.8,61.5,28.8,,127.4,6.62,8.4,0.13,15.2,29.9,91.8,0.138,0.415,3
Ashaway Dynamite 17,22,40,Slow,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,23.9,40.9,36.1,34.8,58.7,29.9,,144.6,7.65,7.17,0.28,15.2,24.5,92.2,0.138,0.415,3
Ashaway Dynamite 17,23,51,Slow,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,46.92,35.7,25.4,24,71,11.1,,133.2,5.89,10.23,-0.05,16.1,40.5,95.1,0.138,0.415,3
Ashaway Dynamite 17,24,40,Medium,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,35.7,36.9,33,34.2,69.9,12.5,,148,6.62,8.51,-0.04,15,29.7,95.1,0.138,0.415,3
Ashaway Dynamite 17,25,62,Slow,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,46.92,34.1,30.1,32.4,79.4,19.7,,114.9,5.89,9.96,0.36,16.3,40.8,90.2,0.138,0.415,3
Ashaway Dynamite 17,26,51,Medium,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,23.57,47.5,22.3,16.3,39.7,13.3,,159.4,7.65,7.52,-0.26,15,24.1,98.2,0.138,0.415,3
